Gas_age	d13CO2	d13CO2_stdev
65.400	-6.51	0.05
65.500	-6.50	0.05
65.600	-6.49	0.05
65.700	-6.49	0.05
65.800	-6.48	0.05
65.900	-6.48	0.05
66.000	-6.47	0.05
66.100	-6.47	0.05
66.200	-6.46	0.05
66.300	-6.46	0.05
66.400	-6.45	0.05
66.500	-6.45	0.05
66.600	-6.44	0.05
66.700	-6.44	0.05
66.800	-6.44	0.05
66.900	-6.43	0.05
67.000	-6.43	0.05
67.100	-6.43	0.05
67.200	-6.42	0.05
67.300	-6.42	0.05
67.400	-6.42	0.05
67.500	-6.41	0.05
67.600	-6.41	0.05
67.700	-6.41	0.05
67.800	-6.41	0.05
67.900	-6.40	0.05
68.000	-6.40	0.05
68.100	-6.40	0.05
68.200	-6.40	0.05
68.300	-6.40	0.04
68.400	-6.40	0.04
68.500	-6.40	0.04
68.600	-6.40	0.04
68.700	-6.40	0.04
68.800	-6.39	0.04
68.900	-6.39	0.04
69.000	-6.39	0.04
69.100	-6.39	0.04
69.200	-6.39	0.04
69.300	-6.39	0.04
69.400	-6.39	0.04
69.500	-6.39	0.04
69.600	-6.39	0.04
69.700	-6.40	0.04
69.800	-6.40	0.04
69.900	-6.40	0.04
70.000	-6.40	0.05
70.100	-6.40	0.05
70.200	-6.40	0.05
70.300	-6.40	0.05
70.400	-6.40	0.05
70.500	-6.40	0.05
70.600	-6.40	0.05
70.700	-6.40	0.05
70.800	-6.40	0.05
70.900	-6.41	0.05
71.000	-6.41	0.05
71.100	-6.41	0.05
71.200	-6.41	0.05
71.300	-6.41	0.05
71.400	-6.41	0.05
71.500	-6.41	0.06
71.600	-6.41	0.06
71.700	-6.41	0.06
71.800	-6.41	0.06
71.900	-6.41	0.06
72.000	-6.42	0.06
72.100	-6.42	0.06
72.200	-6.42	0.06
72.300	-6.42	0.06
72.400	-6.42	0.06
72.500	-6.42	0.06
72.600	-6.42	0.06
72.700	-6.42	0.06
72.800	-6.42	0.06
72.900	-6.42	0.06
73.000	-6.42	0.06
73.100	-6.42	0.06
73.200	-6.42	0.05
73.300	-6.43	0.05
73.400	-6.43	0.05
73.500	-6.43	0.05
73.600	-6.43	0.05
73.700	-6.43	0.05
73.800	-6.43	0.05
73.900	-6.43	0.05
74.000	-6.43	0.05
74.100	-6.43	0.05
74.200	-6.43	0.05
74.300	-6.43	0.05
74.400	-6.43	0.05
74.500	-6.43	0.05
74.600	-6.43	0.05
74.700	-6.43	0.04
74.800	-6.43	0.04
74.900	-6.43	0.04
75.000	-6.44	0.04
75.100	-6.44	0.04
75.200	-6.44	0.04
75.300	-6.44	0.04
75.400	-6.44	0.04
75.500	-6.44	0.04
75.600	-6.44	0.04
75.700	-6.44	0.04
75.800	-6.44	0.04
75.900	-6.44	0.04
76.000	-6.44	0.04
76.100	-6.44	0.04
76.200	-6.44	0.04
76.300	-6.44	0.04
76.400	-6.44	0.04
76.500	-6.44	0.04
76.600	-6.44	0.04
76.700	-6.44	0.04
76.800	-6.44	0.04
76.900	-6.44	0.04
77.000	-6.44	0.04
77.100	-6.44	0.05
77.200	-6.45	0.05
77.300	-6.45	0.05
77.400	-6.45	0.05
77.500	-6.45	0.05
77.600	-6.45	0.05
77.700	-6.45	0.05
77.800	-6.45	0.05
77.900	-6.45	0.05
78.000	-6.45	0.05
78.100	-6.45	0.05
78.200	-6.45	0.05
78.300	-6.45	0.05
78.400	-6.45	0.05
78.500	-6.45	0.05
78.600	-6.45	0.05
78.700	-6.45	0.06
78.800	-6.45	0.06
78.900	-6.45	0.06
79.000	-6.45	0.06
79.100	-6.45	0.06
79.200	-6.46	0.06
79.300	-6.46	0.06
79.400	-6.46	0.06
79.500	-6.46	0.06
79.600	-6.46	0.06
79.700	-6.46	0.06
79.800	-6.46	0.06
79.900	-6.46	0.05
80.000	-6.46	0.05
80.100	-6.46	0.05
80.200	-6.46	0.05
80.300	-6.46	0.05
80.400	-6.46	0.05
80.500	-6.46	0.05
80.600	-6.46	0.05
80.700	-6.47	0.05
80.800	-6.47	0.05
80.900	-6.47	0.05
81.000	-6.47	0.05
81.100	-6.47	0.05
81.200	-6.47	0.05
81.300	-6.47	0.05
81.400	-6.47	0.04
81.500	-6.47	0.04
81.600	-6.47	0.04
81.700	-6.47	0.04
81.800	-6.47	0.04
81.900	-6.47	0.04
82.000	-6.47	0.04
82.100	-6.47	0.04
82.200	-6.48	0.04
82.300	-6.48	0.04
82.400	-6.48	0.04
82.500	-6.48	0.04
82.600	-6.48	0.04
82.700	-6.48	0.04
82.800	-6.48	0.04
82.900	-6.48	0.04
83.000	-6.48	0.04
83.100	-6.48	0.04
83.200	-6.48	0.04
83.300	-6.48	0.04
83.400	-6.48	0.04
83.500	-6.48	0.04
83.600	-6.48	0.04
83.700	-6.48	0.04
83.800	-6.48	0.04
83.900	-6.48	0.04
84.000	-6.48	0.04
84.100	-6.48	0.04
84.200	-6.48	0.05
84.300	-6.48	0.05
84.400	-6.48	0.05
84.500	-6.48	0.05
84.600	-6.48	0.05
84.700	-6.48	0.05
84.800	-6.48	0.05
84.900	-6.48	0.05
85.000	-6.48	0.05
85.100	-6.48	0.05
85.200	-6.48	0.05
85.300	-6.48	0.05
85.400	-6.48	0.05
85.500	-6.48	0.05
85.600	-6.48	0.05
85.700	-6.48	0.05
85.800	-6.48	0.05
85.900	-6.48	0.05
86.000	-6.48	0.05
86.100	-6.48	0.05
86.200	-6.48	0.05
86.300	-6.48	0.05
86.400	-6.48	0.05
86.500	-6.48	0.05
86.600	-6.48	0.05
86.700	-6.48	0.05
86.800	-6.48	0.05
86.900	-6.48	0.05
87.000	-6.47	0.05
87.100	-6.47	0.05
87.200	-6.47	0.05
87.300	-6.47	0.05
87.400	-6.47	0.05
87.500	-6.47	0.05
87.600	-6.47	0.05
87.700	-6.47	0.05
87.800	-6.47	0.05
87.900	-6.47	0.05
88.000	-6.47	0.05
88.100	-6.47	0.05
88.200	-6.47	0.05
88.300	-6.47	0.05
88.400	-6.47	0.05
88.500	-6.47	0.05
88.600	-6.47	0.05
88.700	-6.47	0.05
88.800	-6.47	0.05
88.900	-6.47	0.05
89.000	-6.47	0.05
89.100	-6.47	0.05
89.200	-6.47	0.05
89.300	-6.47	0.05
89.400	-6.47	0.05
89.500	-6.47	0.05
89.600	-6.47	0.05
89.700	-6.47	0.05
89.800	-6.47	0.05
89.900	-6.47	0.05
90.000	-6.47	0.05
90.100	-6.47	0.05
90.200	-6.47	0.05
90.300	-6.47	0.05
90.400	-6.47	0.05
90.500	-6.47	0.05
90.600	-6.48	0.06
90.700	-6.48	0.06
90.800	-6.48	0.06
90.900	-6.48	0.06
91.000	-6.48	0.06
91.100	-6.48	0.06
91.200	-6.48	0.06
91.300	-6.48	0.06
91.400	-6.48	0.06
91.500	-6.48	0.06
91.600	-6.49	0.06
91.700	-6.49	0.06
91.800	-6.49	0.06
91.900	-6.49	0.06
92.000	-6.49	0.06
92.100	-6.49	0.06
92.200	-6.50	0.06
92.300	-6.50	0.06
92.400	-6.50	0.06
92.500	-6.50	0.06
92.600	-6.50	0.06
92.700	-6.50	0.06
92.800	-6.51	0.06
92.900	-6.51	0.06
93.000	-6.51	0.06
93.100	-6.51	0.06
93.200	-6.52	0.06
93.300	-6.52	0.06
93.400	-6.52	0.06
93.500	-6.52	0.06
93.600	-6.53	0.06
93.700	-6.53	0.06
93.800	-6.53	0.06
93.900	-6.53	0.06
94.000	-6.54	0.06
94.100	-6.54	0.05
94.200	-6.54	0.05
94.300	-6.55	0.05
94.400	-6.55	0.05
94.500	-6.55	0.05
94.600	-6.56	0.05
94.700	-6.56	0.05
94.800	-6.56	0.05
94.900	-6.56	0.05
95.000	-6.57	0.05
95.100	-6.57	0.05
95.200	-6.57	0.05
95.300	-6.58	0.05
95.400	-6.58	0.05
95.500	-6.58	0.05
95.600	-6.59	0.05
95.700	-6.59	0.05
95.800	-6.59	0.05
